,x,pdf,cdf,type,type_specific,parameter1,parameter2,location,parameter
210,-0.6752031517428652,0.31762362026394153,0.2497733522545274,normal,normal: mean=0 var=1,0.0,1.0,0,
211,-0.6581094010658175,0.3212638518541085,0.2552339177042746,normal,normal: mean=0 var=1,0.0,1.0,0,
212,-0.6410156503887703,0.3248508694392071,0.26075625741276476,normal,normal: mean=0 var=1,0.0,1.0,0,
213,-0.6239218997117226,0.32838197124598156,0.2663394386359429,normal,normal: mean=0 var=1,0.0,1.0,0,
214,-0.6068281490346754,0.3318544750125243,0.2719824826082893,normal,normal: mean=0 var=1,0.0,1.0,0,
215,-0.5897343983576282,0.3352657213516459,0.2776843649050814,normal,normal: mean=0 var=1,0.0,1.0,0,
216,-0.5726406476805805,0.33861307711671357,0.2834440158621764,normal,normal: mean=0 var=1,0.0,1.0,0,
217,-0.5555468970035333,0.34189393876405494,0.2892603210533069,normal,normal: mean=0 var=1,0.0,1.0,0,
218,-0.5384531463264857,0.34510573570596825,0.2951321218247839,normal,normal: mean=0 var=1,0.0,1.0,0,
219,-0.5213593956494385,0.3482459336483393,0.30105821588738796,normal,normal: mean=0 var=1,0.0,1.0,0,
220,-0.5042656449723908,0.3513120379068383,0.3070373579651431,normal,normal: mean=0 var=1,0.0,1.0,0,
221,-0.4871718942953436,0.354301596695656,0.3130682605005462,normal,normal: mean=0 var=1,0.0,1.0,0,
222,-0.4700781436182959,0.35721220438273915,0.31914959441573976,normal,normal: mean=0 var=1,0.0,1.0,0,
223,-0.4529843929412487,0.36004150470550034,0.32527998992899565,normal,normal: mean=0 var=1,0.0,1.0,0,
224,-0.43589064226420104,0.36278719394100595,0.3314580374257904,normal,normal: mean=0 var=1,0.0,1.0,0,
225,-0.41879689158715383,0.36544702402468887,0.3376822883836364,normal,normal: mean=0 var=1,0.0,1.0,0,
226,-0.40170314091010617,0.36801880561169187,0.34395125634974416,normal,normal: mean=0 var=1,0.0,1.0,0,
227,-0.38460939023305896,0.3705004110750169,0.35026341797047994,normal,normal: mean=0 var=1,0.0,1.0,0,
228,-0.3675156395560113,0.3728897774347452,0.356617214071495,normal,normal: mean=0 var=1,0.0,1.0,0,
229,-0.3504218888789641,0.3751849092126889,0.3630110507872935,normal,normal: mean=0 var=1,0.0,1.0,0,
230,-0.3333281382019164,0.3773838812069538,0.3694433007389236,normal,normal: mean=0 var=1,0.0,1.0,0,
